    BXA nested sampling keep shorter 
    burst: bn080916009
    data: GBMwLAT
    model: grbm 
    prob                        cstat                      alpha                        beta                      enaught                    norm
    0.309988049341454200E-92    0.745499730261025320E+03   -0.132743131846068430E+01   -0.231868404928052385E+01    0.239968737693031926E+04   -0.186607246916282854E+01
    0.343325603174355491E-92    0.745292939198922795E+03   -0.112845135426161924E+01   -0.251708412042983642E+01    0.180288693615391685E+04   -0.189386187674093343E+01
    0.353337133750796470E-92    0.745232952444917601E+03   -0.126989881255055082E+01   -0.224848259613664325E+01    0.224578116081797589E+04   -0.188672956938144054E+01
    0.360199963616355371E-92    0.745191979090010250E+03   -0.110946793349478057E+01   -0.214399461845914541E+01    0.544966276661313373E+03   -0.183558491001086921E+01
    0.398673235580936639E-92    0.744986513507641916E+03   -0.120333500173687113E+01   -0.239384570912354011E+01    0.104740130826575114E+04   -0.179053937367795157E+01
    0.445055214261221212E-92    0.744763901050553159E+03   -0.112870890723359452E+01   -0.212570797645660203E+01    0.940226689313346469E+03   -0.185127702271349293E+01
    0.619336454666223920E-92    0.744100500412434712E+03   -0.982699824555632873E+00   -0.222843585064323779E+01    0.461633423856636568E+03   -0.180452414057788957E+01
    0.775872118816155565E-92    0.743647322330948896E+03   -0.110247353862895636E+01   -0.254262603351159377E+01    0.135718361541430249E+04   -0.184957165018894365E+01
    0.894944212503216359E-92    0.743359274985607840E+03   -0.112616541804883674E+01   -0.235394671760508345E+01    0.109368726151749775E+04   -0.176808381207689891E+01
    0.108849279393882879E-91    0.742965199232520717E+03   -0.125173854064508205E+01   -0.248931940840317001E+01    0.178859847121437929E+04   -0.182837373685917548E+01
    0.112545716771263781E-91    0.742895908546690407E+03   -0.132884234242716204E+01   -0.230302639807937304E+01    0.256253025557301316E+04   -0.188375961358066846E+01
    0.133681059039198240E-91    0.742549213954582569E+03   -0.897733203180523631E+00   -0.212288760134135934E+01    0.330415193565655841E+03   -0.175623012052481720E+01
    0.144830852306419230E-91    0.742386494516146172E+03   -0.127947934611066927E+01   -0.226849035077795591E+01    0.209442119186362834E+04   -0.184584910882977660E+01
    0.159564996822098388E-91    0.742190224881877384E+03   -0.108883299903822639E+01   -0.240284777302096231E+01    0.686541952394748364E+03   -0.180111433519124020E+01
    0.181701829969971312E-91    0.741927893474021403E+03   -0.851147186077731988E+00   -0.226093317008760053E+01    0.452907465494126484E+03   -0.177962512206210910E+01
    0.204786535362347684E-91    0.741686191276080763E+03   -0.126967392520190003E+01   -0.271109249036162758E+01    0.381487875889614725E+04   -0.188154599136726652E+01
    0.231582227019061840E-91    0.741437757561951912E+03   -0.106796112421275957E+01   -0.249990112069446191E+01    0.146031259577401829E+04   -0.186181297385302891E+01
    0.278876765362493552E-91    0.741063587601420863E+03   -0.943512096628209562E+00   -0.209569233456750492E+01    0.244003764229991958E+03   -0.168785938782030698E+01
    0.314847397229052610E-91    0.740818451431088420E+03   -0.124068171612849021E+01   -0.244491189428984157E+01    0.204673720628565252E+04   -0.181715688249793139E+01
    0.365394737003552125E-91    0.740518171086573943E+03   -0.104138718511072348E+01   -0.235147041350213382E+01    0.964518419265594162E+03   -0.187054236594557466E+01
    0.366177745710602122E-91    0.740511389848421686E+03   -0.982591433826756955E+00   -0.211380731370611308E+01    0.320770204032575293E+03   -0.163473627810418520E+01
    0.402053587273493913E-91    0.740321956804665660E+03   -0.110943799422007139E+01   -0.249734287560251200E+01    0.149821217626979069E+04   -0.188206722640734547E+01
    0.430845373035207728E-91    0.740181129042539851E+03   -0.126198265310695668E+01   -0.270427800679988817E+01    0.408687510373725127E+04   -0.189793752630088086E+01
    0.485211083593464579E-91    0.739940959527168502E+03   -0.131496081248477559E+01   -0.221601639402569006E+01    0.158958687827127574E+04   -0.186286092499298128E+01
    0.745685299405009033E-91    0.739079020246414302E+03   -0.122323751231864719E+01   -0.221034780767053007E+01    0.170141032620051465E+04   -0.189160009581487465E+01
    0.873050873868563608E-91    0.738761139909676217E+03   -0.125200005900044076E+01   -0.260834182072327714E+01    0.304613368618866480E+04   -0.190993110108321495E+01
    0.935125965363987552E-91    0.738621265082428977E+03   -0.860301222062318516E+00   -0.234256933708932635E+01    0.388628320595663922E+03   -0.168723890994126435E+01
    0.100101998209847494E-90    0.738482578084982151E+03   -0.112057971584357929E+01   -0.233010659319839863E+01    0.102840152589473246E+04   -0.176283683915561795E+01
    0.102927894399347266E-90    0.738424400004094878E+03   -0.957537737057192473E+00   -0.225626533286231279E+01    0.760486239614086116E+03   -0.178109719963926594E+01
    0.131724132870811790E-90    0.737928537715100902E+03   -0.131910326077998974E+01   -0.251609092442442250E+01    0.350236460139928022E+04   -0.190809962304455105E+01
    0.178330034980784156E-90    0.737320185456254649E+03   -0.123540779889239438E+01   -0.222582615801478134E+01    0.189756192826917663E+04   -0.188815928375474051E+01
    0.186560438272015051E-90    0.737227446876723434E+03   -0.694470562662683477E+00   -0.215042804369369289E+01    0.204086164131619114E+03   -0.152806257974224380E+01
    0.204050431119021618E-90    0.737045723032177989E+03   -0.132546497321866497E+01   -0.253084119852973544E+01    0.366335094857704507E+04   -0.188418656058387590E+01
    0.213215271272543044E-90    0.736955352744329502E+03   -0.914725522942042346E+00   -0.220672748650061123E+01    0.607029139121674461E+03   -0.181192148166308264E+01
    0.236963134454130350E-90    0.736741648225079871E+03   -0.123146799286774389E+01   -0.248232489901662667E+01    0.302188683291103507E+04   -0.185101434611660309E+01
    0.326709902024323583E-90    0.736096812126750024E+03   -0.118103133479779032E+01   -0.229838302453973053E+01    0.662209521668767593E+03   -0.177017315175185708E+01
    0.327220462697240758E-90    0.736091189098340919E+03   -0.131677665181644166E+01   -0.246164531358280847E+01    0.391204137615506170E+04   -0.189433337530801715E+01
    0.328582801524693870E-90    0.736080379650300756E+03   -0.131657948484843601E+01   -0.258840392288497512E+01    0.411447612322058285E+04   -0.189262068998375987E+01
    0.336599501792830295E-90    0.736029669778220182E+03   -0.114509143538687574E+01   -0.254263560823091517E+01    0.224687607260947880E+04   -0.189809648121677554E+01
    0.339027130690526772E-90    0.736012797110071460E+03   -0.126260018177622158E+01   -0.263296094202073139E+01    0.281100042866689182E+04   -0.188479666471849683E+01
    0.346891311826068367E-90    0.735964434364540239E+03   -0.110506287335769748E+01   -0.237581691418212504E+01    0.675775318928368961E+03   -0.180796457353915940E+01
    0.368215162229983855E-90    0.735842622486932783E+03   -0.129775738423562537E+01   -0.221895009041135705E+01    0.118117410160323948E+04   -0.186326087899910675E+01
    0.460013365709006814E-90    0.735394946291598330E+03   -0.116194139310604250E+01   -0.259387426772552576E+01    0.182836496823845528E+04   -0.183393527413515223E+01
    0.472858617396939066E-90    0.735337364506152539E+03   -0.103394788793987402E+01   -0.223759899839054111E+01    0.340186383871652197E+03   -0.167795983700888129E+01
    0.482665578258144626E-90    0.735293809322928610E+03   -0.126908300646852190E+01   -0.258334672876913629E+01    0.383850497272519442E+04   -0.191705138376442541E+01
    0.558169152934527224E-90    0.735000633265692727E+03   -0.127373326368393514E+01   -0.256134470839052675E+01    0.357681504148106524E+04   -0.191945482433937187E+01
    0.576942814111410464E-90    0.734931971076290438E+03   -0.114124975456543076E+01   -0.241138564036610425E+01    0.105913223940902776E+04   -0.186680730281675622E+01
